"[run number]","file-name","initial-meetings-pct","alpha","iterations-multiplier","lambda","threshold","[step]","res-ari","res-p","res-r","res-s","length (remove-duplicates [label-id] of turtles)"
"129","iris.csv","0.1","0.1","25","0.999","0.01","3750","0.6037789265837851","0.7547141188719713","0.5298034471975845","0.1504191431096892","8"
"130","iris.csv","0.25","0.1","25","0.999","0.01","3750","0.4861298545509072","0.6551317812055973","0.44258976843297215","0.1063732792958145","8"
"128","iris.csv","1","0.05","25","0.999","0.01","3750","0.5394952791308154","0.7366276851134299","0.48954815593619166","0.17328647951815748","8"
"131","iris.csv","0.5","0.1","25","0.999","0.01","3750","0.49347865080246334","0.7050068099310739","0.5140841143733216","-0.04061906262730628","8"
"133","iris.csv","0.1","0.2","25","0.999","0.01","3750","0.4688992007070961","0.6951979858657924","0.41057187182154337","0.17302403905010014","9"
"132","iris.csv","1","0.1","25","0.999","0.01","3750","0.4574675261299976","0.6578580313826242","0.40991179636341624","0.12290036194232822","9"
"134","iris.csv","0.25","0.2","25","0.999","0.01","3750","0.5206719885618968","0.7009021838541369","0.507262435771738","0.14146694450271216","8"
"135","iris.csv","0.5","0.2","25","0.999","0.01","3750","0.5466995900208896","0.6401284576112902","0.6251772714348","0.3019421340134089","5"
"137","iris.csv","0.1","0.5","25","0.999","0.01","3750","0.5199910300166273","0.7052531850808629","0.5602150437339732","0.2363406278232063","7"
"136","iris.csv","1","0.2","25","0.999","0.01","3750","0.4991324389554478","0.6674719048277403","0.44186193334955237","0.12247991193134375","9"
"138","iris.csv","0.25","0.5","25","0.999","0.01","3750","0.3621985220194231","0.718148712724107","0.44148090111214006","-0.12688438622812045","10"
"139","iris.csv","0.5","0.5","25","0.999","0.01","3750","0.5265900923270803","0.682399816492358","0.5882350030592041","0.15096406374086294","7"
"141","iris.csv","0.1","1","25","0.999","0.01","3750","0.3877394779684956","0.6777714450245306","0.3585686348989734","-0.2326135820268876","13"
"142","iris.csv","0.25","1","25","0.999","0.01","3750","0.15795208080890363","0.6671704378555748","0.2789690798612896","-0.22259481487833674","16"
"143","iris.csv","0.5","1","25","0.999","0.01","3750","0.18539532253449348","0.7290701215249568","0.29496765992790924","-0.25869437677934315","19"
"140","iris.csv","1","0.5","25","0.999","0.01","3750","0.4320442474473683","0.6759880126291653","0.5137769428851927","-0.08582793110337092","8"
"144","iris.csv","1","1","25","0.999","0.01","3750","0.3401054823401936","0.765941900817771","0.3453644940822539","-0.17655192521565147","16"
"145","iris.csv","0.1","0","75","0.999","0.01","11250","0.46929840834044445","0.6883181578886663","0.3834054478471023","0.11032170235379572","10"
"149","iris.csv","0.1","0.05","75","0.999","0.01","11250","0.5209786624318564","0.718622944307395","0.5402192678997453","0.2219930057236662","8"
"147","iris.csv","0.5","0","75","0.999","0.01","11250","0.33155748233782917","0.6866510188947351","0.3507705695730538","-0.15054098025957008","11"
"146","iris.csv","0.25","0","75","0.999","0.01","11250","0.3019253151322668","0.7566344995600367","0.3511035412759946","-0.12674018048489158","14"
"151","iris.csv","0.5","0.05","75","0.999","0.01","11250","0.5891889753359772","0.7179757502249087","0.6146513984679689","0.15653562752931902","7"
"150","iris.csv","0.25","0.05","75","0.999","0.01","11250","0.5211457757459083","0.656733664309389","0.5844687760795485","0.14097333207858304","8"
"148","iris.csv","1","0","75","0.999","0.01","11250","0.3775379941149813","0.6684276245441548","0.3351238913360494","-0.12438081330774797","12"
"152","iris.csv","1","0.05","75","0.999","0.01","11250","0.5307291809423867","0.6733182804964959","0.6259642962240067","0.290474554885268","6"
"153","iris.csv","0.1","0.1","75","0.999","0.01","11250","0.5616378894569306","0.6871532298674512","0.650934637560657","0.3966500664116565","4"
"154","iris.csv","0.25","0.1","75","0.999","0.01","11250","0.5191820711548015","0.6845566493071001","0.5424601726256253","0.09507752754737597","9"
"155","iris.csv","0.5","0.1","75","0.999","0.01","11250","0.5897876705303108","0.7223311685813859","0.6169082112895613","0.16180237041669257","6"
"157","iris.csv","0.1","0.2","75","0.999","0.01","11250","0.5191229558649831","0.7170896673310863","0.5369869563691239","0.21303642220738908","8"
"156","iris.csv","1","0.1","75","0.999","0.01","11250","0.5418043956714931","0.7244621981881193","0.5603960693977318","0.19588123819542733","8"
"159","iris.csv","0.5","0.2","75","0.999","0.01","11250","0.5273914964636615","0.7281124069267718","0.5572729683625295","0.16603943944103366","7"
"158","iris.csv","0.25","0.2","75","0.999","0.01","11250","0.5983695473521581","0.7107131057976842","0.6454998432121565","0.38479414865822814","4"
"160","iris.csv","1","0.2","75","0.999","0.01","11250","0.6252338648725668","0.7460855197408","0.6661963564054397","0.44448238767508486","4"
"161","iris.csv","0.1","0.5","75","0.999","0.01","11250","0.5281974277987326","0.6752557617547392","0.6060946607796998","0.2949659498414303","6"
"162","iris.csv","0.25","0.5","75","0.999","0.01","11250","0.5322452598279231","0.6880950524354303","0.6141422869289086","0.23410882495660748","5"
"163","iris.csv","0.5","0.5","75","0.999","0.01","11250","0.5060346101217968","0.6775508239255218","0.5071652856132105","0.10041515597232234","9"
"165","iris.csv","0.1","1","75","0.999","0.01","11250","0.34214907137997425","0.7233483712164964","0.3689801408236937","-0.18764899985952374","11"
"164","iris.csv","1","0.5","75","0.999","0.01","11250","0.545877256394165","0.6936991903553278","0.6172775926555065","0.28548574704604807","6"
"167","iris.csv","0.5","1","75","0.999","0.01","11250","0.44563830900066664","0.6777802818940108","0.36476378963724976","-0.10710073766606792","11"
"166","iris.csv","0.25","1","75","0.999","0.01","11250","0.2458908870201956","0.663059026920623","0.32628896091701926","-0.12339615670176582","11"
"168","iris.csv","1","1","75","0.999","0.01","11250","0.28994629965503754","0.6665654779647155","0.3345249003858871","-0.16609092674799772","12"
"169","iris.csv","0.1","0","150","0.999","0.01","22500","0.4955346194107971","0.6476700065729619","0.408153987294577","0.13748724265352882","8"
"170","iris.csv","0.25","0","150","0.999","0.01","22500","0.4568940003833621","0.6573070922142745","0.3835176985591877","0.1299178337450762","9"
"172","iris.csv","1","0","150","0.999","0.01","22500","0.27745271881890055","0.6571896895814252","0.326851064717845","-0.16460516499147504","13"
"171","iris.csv","0.5","0","150","0.999","0.01","22500","0.42725533260900317","0.6999957377815289","0.3911862028736691","-0.11922816724650777","10"
"173","iris.csv","0.1","0.05","150","0.999","0.01","22500","0.584870691578021","0.7117842052949204","0.6301794548676999","0.2653014539522715","6"
"174","iris.csv","0.25","0.05","150","0.999","0.01","22500","0.5785104513872835","0.7102621206527583","0.5885646444562718","0.301867561376621","5"
"175","iris.csv","0.5","0.05","150","0.999","0.01","22500","0.5820476858345021","0.7314701751347544","0.6690076496678494","0.4258641807955826","4"
"176","iris.csv","1","0.05","150","0.999","0.01","22500","0.5188453669238544","0.6971989917236857","0.5709549985111556","0.26318823883680803","6"
"177","iris.csv","0.1","0.1","150","0.999","0.01","22500","0.5314827545528875","0.7108726002112705","0.605137790230832","0.23110515614633603","6"
"179","iris.csv","0.5","0.1","150","0.999","0.01","22500","0.5256200826776903","0.7057250480479099","0.5532510753054426","0.14217054608135682","7"
"178","iris.csv","0.25","0.1","150","0.999","0.01","22500","0.5225690742168491","0.6811150605230508","0.5673134711428833","0.2195791170987088","6"
"180","iris.csv","1","0.1","150","0.999","0.01","22500","0.5323230576559299","0.6771085273528994","0.6309741723855599","0.19539980595729883","6"
"181","iris.csv","0.1","0.2","150","0.999","0.01","22500","0.5468702335213383","0.7062600085185077","0.6572113305345969","0.4135749308813537","4"
"182","iris.csv","0.25","0.2","150","0.999","0.01","22500","0.5380280930683994","0.6596351358281325","0.6729551628189141","0.2697466315165663","5"
"183","iris.csv","0.5","0.2","150","0.999","0.01","22500","0.5482204119857856","0.693907970492491","0.5919660440908464","0.3002478177058059","6"
"184","iris.csv","1","0.2","150","0.999","0.01","22500","0.5376904714439793","0.6552397557705139","0.6770620351467501","0.2916788691087559","5"
"186","iris.csv","0.25","0.5","150","0.999","0.01","22500","0.51489328078063","0.6933216962077997","0.562357020762452","0.16347434486372728","9"
"185","iris.csv","0.1","0.5","150","0.999","0.01","22500","0.5084974312683183","0.6829883975656116","0.517386536745486","0.13621820117662992","8"
"193","iris.csv","0.1","0","10","0.9999","0.01","1500","0.13750732233163837","0.8343427558808306","0.3049042513347188","-0.26750230828261046","24"
